0	0.045							
1	0.003							
2	0.003							
3	0.003							
4	0.003							
5	0.001							
6	0.001							
7	0.001							
8	0.001							
9	0.001							
10	0.001							
11	0.001							
12	0.001							
13	0.001							
14	0.001							
15	0.001							
16	0.001							
17	0.001							
18	0.001							
19	0.001							
20	0.002							
21	0.002							
22	0.002							
23	0.002							
24	0.002							
25	0.002							
26	0.002							
27	0.002							
28	0.002							
29	0.002							
30	0.003							
31	0.003							
32	0.003							
33	0.003							
34	0.003							
35	0.004							
36	0.004							
37	0.004							
38	0.004							
39	0.004							
40	0.006							
41	0.006							
42	0.006							
43	0.006							
44	0.006							
45	0.008							
46	0.008							
47	0.008							
48	0.008							
49	0.008							
50	0.011							
51	0.011							
52	0.011							
53	0.011							
54	0.011							
55	0.017							
56	0.017							
57	0.017							
58	0.017							
59	0.017							
60	0.027							
61	0.027							
62	0.027							
63	0.027							
64	0.027							
65	0.043							
66	0.043							
67	0.043							
68	0.043							
69	0.043							
70	0.063							
71	0.063							
72	0.063							
73	0.063							
74	0.063							
75	0.092							
76	0.092							
77	0.092							
78	0.092							
79	0.092							
80	0.127							
81	0.127							
82	0.127							
83	0.127							
84	0.127							
85	0.163							
86	0.163							
87	0.163							
88	0.163							
89	0.163							
90	0.208							
91	0.208							
92	0.208							
93	0.208							
94	0.208							
95	0.262							
96	0.262							
97	0.262							
98	0.262							
99	0.262							
100	0.332							
101	0.332							
102	0.332							
103	0.332							
104	0.332							
105	0.332							
106	0.4844							
107	0.384							
108	0.4829							
109	0.3228							
110	0.4055							
111	0.3233							
112	0.2412							
113	0.2007							
114	0.8109							
115	0.6931							
116	0.6931							
117	0.6931							
118	0.6931							
119	0.8466							
120	1							
121	1							
122	1							
123	1							
124	1							
125	1							
